datetime,Beach Road,Carlton Gore Cycle Counter,Curran Street Road,Curran Street Shared Path,Dominion Rd City Bound,Dominion Road Outbound,East Coast Road,GI TO TAMAKI DR SECTION-1,Grafton Bridge,Grafton Gully,Grafton Road,Great North Rd City Bound,Great Nth Rd Sth Side,Great South Rd (Manukau) NB,Great South Rd (Manukau) SB,HighBrook,Hopetoun Street,Karangahape Road,Lagoon Drive,Lake Rd NB,Lake Road SB New,Mangere Bridge,Mangere Safe Routes,Matakana,NW Cycleway Kingsland,NW Cycleway TeAtatu,Nelson Street,Nelson Street Lightpath bikes 8 loop,Oceanview Rd Waiheke,Orewa Path,Ormiston Rd Sth,Ormiston Road Nth,Pukekohe - Queen St,Quay St Spark Arena,Quay St Spark Arena Shared Pathway,Quay St Totem UZELT,Rankin Ave,SW Shared Path,Saint Lukes Rd NB,Saint Lukes Rd SB,Symonds Street City Bound,Symonds Street Sth Bound,Tamaki Drive EB,Tamaki Drive WB,TeWero Bridge Bike Counter,Twin Streams,Upper Queen Street,Victoria Street West On Rd,Victoria Street West Shared Path,Waterview Unitec Counter
2011-01-02 10:00:00,,,,,,,,,,,,,,5,5,2.0,,,,11.0,,,,,17.0,,,,,26.0,,,,,,,,,,,,,93,,,,,,,
2011-01-02 11:00:00,,,,,,,,,,,,,,7,4,3.0,,,,10.0,,,,,20.0,,,,,18.0,,,,,,,,,,,,,65,,,,,,,
2011-01-02 12:00:00,,,,,,,,,,,,,,10,4,3.0,,,,12.0,,,,,29.0,,,,,15.0,,,,,,,,,,,,,90,,,,,,,
2011-01-02 13:00:00,,,,,,,,,,,,,,0,2,1.0,,,,10.0,,,,,17.0,,,,,14.0,,,,,,,,,,,,,33,,,,,,,
2011-01-02 14:00:00,,,,,,,,,,,,,,4,1,5.0,,,,6.0,,,,,3.0,,,,,10.0,,,,,,,,,,,,,39,,,,,,,
2011-01-02 15:00:00,,,,,,,,,,,,,,2,3,3.0,,,,5.0,,,,,17.0,,,,,5.0,,,,,,,,,,,,,40,,,,,,,
2011-01-02 16:00:00,,,,,,,,,,,,,,0,1,0.0,,,,6.0,,,,,0.0,,,,,9.0,,,,,,,,,,,,,43,,,7.0,,,,
2011-01-02 17:00:00,,,,,,,,,,,,,,4,0,1.0,,,,6.0,,,,,5.0,,,,,25.0,,,,,,,,,,,,,52,,,6.0,,,,
2011-01-02 18:00:00,,,,,,,,,,,,,,1,2,0.0,,,,4.0,,,,,18.0,,,,,13.0,,,,,,,,,,,,,33,,,18.0,,,,
2011-01-02 19:00:00,,,,,,,,,,,,,,2,2,3.0,,,,6.0,,,,,9.0,,,,,9.0,,,,,,,,,,,,,35,,,16.0,,,,
2011-01-02 20:00:00,,,,,,,,,,,,,,2,0,1.0,,,,3.0,,,,,14.0,,,,,21.0,,,,,,,,,,,,,14,,,37.0,,,,
2011-01-02 21:00:00,,,,,,,,,,,,,,0,0,0.0,,,,4.0,,,,,10.0,,,,,5.0,,,,,,,,,,,,,6,,,15.0,,,,
2011-01-02 22:00:00,,,,,,,,,,,,,,0,2,0.0,,,,3.0,,,,,5.0,,,,,1.0,,,,,,,,,,,,,6,,,0.0,,,,
2011-01-02 23:00:00,,,,,,,,,,,,,,0,0,0.0,,,,0.0,,,,,2.0,,,,,0.0,,,,,,,,,,,,,7,,,2.0,,,,
2011-01-03 00:00:00,,,,,,,,,,,,,,0,0,0.0,,,,1.0,,,,,1.0,,,,,0.0,,,,,,,,,,,,,0,,,0.0,,,,
2011-01-03 01:00:00,,,,,,,,,,,,,,0,0,0.0,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,0,,,1.0,,,,
2011-01-03 02:00:00,,,,,,,,,,,,,,1,0,0.0,,,,1.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,0,,,0.0,,,,
2011-01-03 03:00:00,,,,,,,,,,,,,,0,0,0.0,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,0,,,0.0,,,,
2011-01-03 04:00:00,,,,,,,,,,,,,,0,0,0.0,,,,1.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,0,,,0.0,,,,
2011-01-03 05:00:00,,,,,,,,,,,,,,1,0,0.0,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,3,,,0.0,,,,
2011-01-03 06:00:00,,,,,,,,,,,,,,1,1,0.0,,,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,12,,,0.0,,,,
2011-01-03 07:00:00,,,,,,,,,,,,,,0,3,0.0,,,,11.0,,,,,2.0,,,,,0.0,,,,,,,,,,,,,45,,,2.0,,,,
2011-01-03 08:00:00,,,,,,,,,,,,,,5,5,8.0,,,,23.0,,,,,4.0,,,,,4.0,,,,,,,,,,,,,76,,,1.0,,,,
2011-01-03 09:00:00,,,,,,,,,,,,,,4,5,3.0,,,,14.0,,,,,12.0,,,,,17.0,,,,,,,,,,,,,82,,,10.0,,,,
2011-01-03 10:00:00,,,,,,,,,,,,,,4,0,2.0,,,,17.0,,,,,18.0,,,,,26.0,,,,,,,,,,,,,55,,,25.0,,,,
2011-01-03 11:00:00,,,,,,,,,,,,,,4,2,3.0,,,,4.0,,,,,19.0,,,,,18.0,,,,,,,,,,,,,40,,,22.0,,,,
2011-01-03 12:00:00,,,,,,,,,,,,,,0,1,3.0,,,,19.0,,,,,19.0,,,,,15.0,,,,,,,,,,,,,47,,,10.0,,,,
2011-01-03 13:00:00,,,,,,,,,,,,,,0,3,1.0,,,,8.0,,,,,12.0,,,,,14.0,,,,,,,,,,,,,38,,,1.0,,,,
2011-01-03 14:00:00,,,,,,,,,,,,,,3,0,5.0,,,,5.0,,,,,3.0,,,,,10.0,,,,,,,,,,,,,39,,,3.0,,,,
2011-01-03 15:00:00,,,,,,,,,,,,,,2,1,3.0,,,,5.0,,,,,0.0,,,,,5.0,,,,,,,,,,,,,30,,,0.0,,,,
2011-01-03 16:00:00,,,,,,,,,,,,,,2,2,0.0,,,,5.0,,,,,0.0,,,,,16.0,,,,,,,,,,,,,34,,,6.0,,,,
2011-01-03 17:00:00,,,,,,,,,,,,,,0,1,1.0,,,,6.0,,,,,19.0,,,,,10.0,,,,,,,,,,,,,50,,,19.0,,,,
2011-01-03 18:00:00,,,,,,,,,,,,,,0,1,0.0,,,,3.0,,,,,12.0,,,,,3.0,,,,,,,,,,,,,38,,,15.0,,,,
2011-01-03 19:00:00,,,,,,,,,,,,,,2,2,3.0,,,,2.0,,,,,8.0,,,,,13.0,,,,,,,,,,,,,16,,,33.0,,,,
2011-01-03 20:00:00,,,,,,,,,,,,,,0,3,1.0,,,,2.0,,,,,4.0,,,,,8.0,,,,,,,,,,,,,29,,,18.0,,,,
