datetime,Beach Road,Carlton Gore Cycle Counter,Curran Street Road,Curran Street Shared Path,Dominion Rd City Bound,Dominion Road Outbound,East Coast Road,GI TO TAMAKI DR SECTION-1,Grafton Bridge,Grafton Gully,Grafton Road,Great North Rd City Bound,Great Nth Rd Sth Side,Great South Rd (Manukau) NB,Great South Rd (Manukau) SB,HighBrook,Hopetoun Street,Karangahape Road,Lagoon Drive,Lake Rd NB,Lake Road SB New,Mangere Bridge,Mangere Safe Routes,Matakana,NW Cycleway Kingsland,NW Cycleway TeAtatu,Nelson Street,Nelson Street Lightpath bikes 8 loop,Oceanview Rd Waiheke,Orewa Path,Ormiston Rd Sth,Ormiston Road Nth,Pukekohe - Queen St,Quay St Spark Arena,Quay St Spark Arena Shared Pathway,Quay St Totem UZELT,Rankin Ave,SW Shared Path,Saint Lukes Rd NB,Saint Lukes Rd SB,Symonds Street City Bound,Symonds Street Sth Bound,Tamaki Drive EB,Tamaki Drive WB,TeWero Bridge Bike Counter,Twin Streams,Upper Queen Street,Victoria Street West On Rd,Victoria Street West Shared Path,Waterview Unitec Counter
2012-01-01 00:00:00,,,,,,,,,,,,,,0.0,0.0,0.0,,,,2.0,,1.0,,,1,,,,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,,
2012-01-01 01:00:00,,,,,,,,,,,,,,0.0,0.0,0.0,,,,9.0,,1.0,,,2,,,,,1.0,,,,,,,,,,,,,0.0,,,0.0,,,,
2012-01-01 02:00:00,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,0.0,,,0,,,,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,,
2012-01-01 03:00:00,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,1.0,,,0,,,,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,,
2012-01-01 04:00:00,,,,,,,,,,,,,,1.0,0.0,0.0,,,,0.0,,0.0,,,1,,,,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,,
2012-01-01 05:00:00,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,0.0,,,0,,,,,11.0,,,,,,,,,,,,,4.0,,,1.0,,,,
2012-01-01 06:00:00,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,2.0,,,2,,,,,0.0,,,,,,,,,,,,,23.0,,,1.0,,,,
2012-01-01 07:00:00,,,,,,,,,,,,,,0.0,2.0,0.0,,,,9.0,,9.0,,,4,,,,,1.0,,,,,,,,,,,,,71.0,,,5.0,,,,
2012-01-01 08:00:00,,,,,,,,,,,,,,4.0,5.0,0.0,,,,4.0,,21.0,,,3,,,,,5.0,,,,,,,,,,,,,71.0,,,4.0,,,,
2012-01-01 09:00:00,,,,,,,,,,,,,,0.0,4.0,0.0,,,,2.0,,10.0,,,2,,,,,10.0,,,,,,,,,,,,,94.0,,,9.0,,,,
2012-01-01 10:00:00,,,,,,,,,,,,,,7.0,1.0,0.0,,,,14.0,,39.0,,,5,,,,,19.0,,,,,,,,,,,,,87.0,,,6.0,,,,
2012-01-01 11:00:00,,,,,,,,,,,,,,0.0,2.0,3.0,,,,8.0,,30.0,,,8,,,,,39.0,,,,,,,,,,,,,77.0,,,7.0,,,,
2012-01-01 12:00:00,,,,,,,,,,,,,,3.0,2.0,1.0,,,,9.0,,31.0,,,12,,,,,76.0,,,,,,,,,,,,,57.0,,,16.0,,,,
2012-01-01 13:00:00,,,,,,,,,,,,,,2.0,4.0,1.0,,,,7.0,,18.0,,,14,,,,,93.0,,,,,,,,,,,,,39.0,,,26.0,,,,
2012-01-01 14:00:00,,,,,,,,,,,,,,0.0,0.0,0.0,,,,9.0,,24.0,,,13,,,,,62.0,,,,,,,,,,,,,46.0,,,15.0,,,,
2012-01-01 15:00:00,,,,,,,,,,,,,,1.0,0.0,0.0,,,,5.0,,30.0,,,7,,,,,70.0,,,,,,,,,,,,,43.0,,,11.0,,,,
2012-01-01 16:00:00,,,,,,,,,,,,,,3.0,1.0,0.0,,,,8.0,,22.0,,,5,,,,,74.0,,,,,,,,,,,,,46.0,,,5.0,,,,
2012-01-01 17:00:00,,,,,,,,,,,,,,0.0,1.0,1.0,,,,8.0,,28.0,,,11,,,,,23.0,,,,,,,,,,,,,46.0,,,6.0,,,,
2012-01-01 18:00:00,,,,,,,,,,,,,,4.0,0.0,0.0,,,,3.0,,9.0,,,7,,,,,34.0,,,,,,,,,,,,,44.0,,,3.0,,,,
2012-01-01 19:00:00,,,,,,,,,,,,,,0.0,0.0,0.0,,,,5.0,,12.0,,,0,,,,,9.0,,,,,,,,,,,,,17.0,,,0.0,,,,
2012-01-01 20:00:00,,,,,,,,,,,,,,2.0,0.0,0.0,,,,0.0,,2.0,,,4,,,,,8.0,,,,,,,,,,,,,11.0,,,0.0,,,,
2012-01-01 21:00:00,,,,,,,,,,,,,,2.0,0.0,0.0,,,,0.0,,0.0,,,1,,,,,0.0,,,,,,,,,,,,,6.0,,,0.0,,,,
2012-01-01 22:00:00,,,,,,,,,,,,,,2.0,0.0,0.0,,,,0.0,,0.0,,,1,,,,,0.0,,,,,,,,,,,,,7.0,,,0.0,,,,
