datetime,Beach Road,Carlton Gore Cycle Counter,Curran Street Road,Curran Street Shared Path,Dominion Rd City Bound,Dominion Road Outbound,East Coast Road,GI TO TAMAKI DR SECTION-1,Grafton Bridge,Grafton Gully,Grafton Road,Great North Rd City Bound,Great Nth Rd Sth Side,Great South Rd (Manukau) NB,Great South Rd (Manukau) SB,HighBrook,Hopetoun Street,Karangahape Road,Lagoon Drive,Lake Rd NB,Lake Road SB New,Mangere Bridge,Mangere Safe Routes,Matakana,NW Cycleway Kingsland,NW Cycleway TeAtatu,Nelson Street,Nelson Street Lightpath bikes 8 loop,Oceanview Rd Waiheke,Orewa Path,Ormiston Rd Sth,Ormiston Road Nth,Pukekohe - Queen St,Quay St Spark Arena,Quay St Spark Arena Shared Pathway,Quay St Totem UZELT,Rankin Ave,SW Shared Path,Saint Lukes Rd NB,Saint Lukes Rd SB,Symonds Street City Bound,Symonds Street Sth Bound,Tamaki Drive EB,Tamaki Drive WB,TeWero Bridge Bike Counter,Twin Streams,Upper Queen Street,Victoria Street West On Rd,Victoria Street West Shared Path,Waterview Unitec Counter
2013-01-01 00:00:00,,,,,,,0,,4,,,,,0,0,0,,,1.0,4,,0,,,1,2,,,,0,,,,,,,,0.0,,,,,4.0,8,,0,,,,
2013-01-01 01:00:00,,,,,,,1,,2,,,,,0,0,5,,,3.0,5,,1,,,1,0,,,,0,,,,,,,,0.0,,,,,3.0,7,,0,,,,
2013-01-01 02:00:00,,,,,,,0,,0,,,,,0,1,0,,,0.0,2,,0,,,2,3,,,,0,,,,,,,,0.0,,,,,1.0,2,,0,,,,
2013-01-01 03:00:00,,,,,,,0,,2,,,,,1,0,0,,,2.0,1,,1,,,0,0,,,,0,,,,,,,,0.0,,,,,2.0,0,,0,,,,
2013-01-01 04:00:00,,,,,,,0,,0,,,,,0,0,0,,,0.0,0,,0,,,0,1,,,,0,,,,,,,,0.0,,,,,0.0,0,,0,,,,
2013-01-01 05:00:00,,,,,,,0,,2,,,,,0,0,0,,,0.0,1,,1,,,0,0,,,,0,,,,,,,,1.0,,,,,2.0,2,,0,,,,
2013-01-01 06:00:00,,,,,,,2,,4,,,,,0,0,1,,,4.0,0,,5,,,3,7,,,,1,,,,,,,,1.0,,,,,7.0,3,,0,,,,
2013-01-01 07:00:00,,,,,,,7,,10,,,,,2,5,0,,,19.0,16,,22,,,1,22,,,,10,,,,,,,,9.0,,,,,33.0,25,,1,,,,
2013-01-01 08:00:00,,,,,,,6,,13,,,,,0,1,0,,,12.0,6,,29,,,11,50,,,,20,,,,,,,,1.0,,,,,57.0,50,,4,,,,
2013-01-01 09:00:00,,,,,,,19,,14,,,,,4,1,0,,,17.0,13,,40,,,18,50,,,,31,,,,,,,,4.0,,,,,56.0,51,,14,,,,
2013-01-01 10:00:00,,,,,,,17,,16,,,,,2,1,0,,,16.0,17,,29,,,10,47,,,,54,,,,,,,,5.0,,,,,52.0,40,,17,,,,
2013-01-01 11:00:00,,,,,,,4,,10,,,,,2,4,0,,,17.0,3,,54,,,7,24,,,,71,,,,,,,,13.0,,,,,52.0,38,,20,,,,
2013-01-01 12:00:00,,,,,,,4,,13,,,,,0,2,0,,,10.0,9,,39,,,7,45,,,,55,,,,,,,,10.0,,,,,77.0,25,,11,,,,
