datetime,Beach Road,Carlton Gore Cycle Counter,Curran Street Road,Curran Street Shared Path,Dominion Rd City Bound,Dominion Road Outbound,East Coast Road,GI TO TAMAKI DR SECTION-1,Grafton Bridge,Grafton Gully,Grafton Road,Great North Rd City Bound,Great Nth Rd Sth Side,Great South Rd (Manukau) NB,Great South Rd (Manukau) SB,HighBrook,Hopetoun Street,Karangahape Road,Lagoon Drive,Lake Rd NB,Lake Road SB New,Mangere Bridge,Mangere Safe Routes,Matakana,NW Cycleway Kingsland,NW Cycleway TeAtatu,Nelson Street,Nelson Street Lightpath bikes 8 loop,Oceanview Rd Waiheke,Orewa Path,Ormiston Rd Sth,Ormiston Road Nth,Pukekohe - Queen St,Quay St Spark Arena,Quay St Spark Arena Shared Pathway,Quay St Totem UZELT,Rankin Ave,SW Shared Path,Saint Lukes Rd NB,Saint Lukes Rd SB,Symonds Street City Bound,Symonds Street Sth Bound,Tamaki Drive EB,Tamaki Drive WB,TeWero Bridge Bike Counter,Twin Streams,Upper Queen Street,Victoria Street West On Rd,Victoria Street West Shared Path,Waterview Unitec Counter
2018-01-01 00:00:00,0,1,0,4,0,1,0,0,3,0,1,1,0,0,0,0,2,5,2,6,1,2,0,0,5,3,2,4,0,0,0,0.0,0,2,3,24,,0,0,2,3,0,10,4,27,0,3,0.0,1.0,1
2018-01-01 01:00:00,4,0,0,0,1,1,0,0,1,4,0,0,2,0,1,0,0,4,1,4,0,2,0,0,1,1,1,0,0,1,0,0.0,0,0,3,19,,1,0,0,2,1,8,4,18,0,1,1.0,2.0,0
2018-01-01 02:00:00,3,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,2,0,1,3,0,0,0,2,2,0,0,0,0,0,0.0,0,1,0,24,,0,0,0,1,1,1,1,10,0,1,1.0,1.0,0
2018-01-01 03:00:00,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0,0,0,2,20,,0,0,0,2,1,3,0,6,0,1,0.0,0.0,0
2018-01-01 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,2,13,,0,0,1,0,1,1,0,3,0,0,0.0,0.0,0
2018-01-01 05:00:00,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,4,1,0,0,0,1,0,0.0,0,0,1,0,,3,0,0,0,1,4,1,0,0,0,0.0,0.0,0
2018-01-01 06:00:00,1,0,1,0,2,1,1,0,8,0,0,2,0,0,3,1,3,5,3,3,3,7,0,0,9,8,2,1,2,5,0,0.0,0,3,2,4,,4,8,1,0,0,6,4,2,0,1,1.0,0.0,1
2018-01-01 07:00:00,7,1,7,6,0,1,3,3,6,10,0,0,2,1,0,0,0,13,5,12,5,15,0,0,20,32,4,5,3,13,0,0.0,0,7,9,15,,1,11,2,3,1,22,21,10,2,4,0.0,0.0,1
2018-01-01 08:00:00,6,3,3,9,2,4,4,0,7,9,3,5,3,0,0,2,1,9,7,10,16,31,1,4,21,35,3,7,8,21,2,3.0,2,18,12,28,,5,4,1,4,2,33,28,27,0,2,4.0,0.0,27
2018-01-01 09:00:00,9,3,3,8,4,4,5,1,10,10,0,5,2,1,1,2,4,11,11,7,9,32,3,10,31,39,18,16,9,28,0,0.0,1,23,33,47,,19,6,4,2,1,43,37,34,8,2,1.0,2.0,14
2018-01-01 10:00:00,8,4,3,9,2,1,6,3,9,21,2,4,6,1,0,0,2,12,8,10,15,48,0,8,32,47,16,24,24,66,3,1.0,3,14,41,54,,12,4,4,4,0,58,22,51,8,4,0.0,0.0,23
2018-01-01 11:00:00,22,4,6,19,3,1,8,3,15,28,1,5,13,3,1,4,1,17,7,19,23,34,3,11,33,63,25,36,21,77,0,1.0,0,15,54,67,,18,7,3,5,2,70,30,54,26,5,4.0,7.0,40
2018-01-01 12:00:00,27,1,3,20,4,7,3,3,6,32,1,1,7,3,6,0,2,7,5,10,10,37,6,10,28,61,17,63,7,57,0,2.0,0,6,62,84,,23,5,4,2,3,82,20,104,17,3,1.0,4.0,36
2018-01-01 13:00:00,9,3,0,17,2,5,5,0,2,7,0,4,4,0,1,0,2,9,3,3,9,31,0,20,9,45,26,36,18,54,0,2.0,0,12,36,67,,9,3,0,8,0,37,12,51,10,4,2.0,1.0,18
2018-01-01 14:00:00,9,0,0,6,0,3,2,2,7,11,2,1,2,2,6,0,3,4,8,11,8,18,0,5,19,36,9,11,15,28,0,3.0,1,3,59,48,,12,3,1,2,3,51,15,35,7,1,0.0,2.0,11
2018-01-01 15:00:00,6,2,0,8,0,1,1,0,6,5,1,1,3,2,1,0,3,9,4,3,3,12,2,5,10,14,12,30,31,17,1,0.0,0,0,24,27,,5,2,4,0,1,24,7,39,8,3,0.0,0.0,7
2018-01-01 16:00:00,16,0,1,2,2,2,4,0,4,6,1,0,3,5,1,0,4,3,2,5,1,1,3,2,12,6,1,10,21,9,0,0.0,2,1,25,26,,5,1,2,1,1,28,11,21,4,1,0.0,3.0,7
2018-01-01 17:00:00,0,1,0,0,1,0,3,0,5,1,2,0,1,1,0,0,1,5,1,1,0,3,2,1,11,7,4,7,9,23,0,0.0,1,2,11,9,,3,1,0,1,2,10,8,5,3,4,1.0,0.0,6
2018-01-01 18:00:00,1,0,2,0,0,4,0,0,3,1,1,1,0,0,1,2,4,4,1,0,1,1,1,3,9,6,3,4,7,10,1,1.0,0,4,3,4,,4,0,1,0,0,8,4,2,2,3,0.0,0.0,5
2018-01-01 19:00:00,3,1,0,3,0,0,2,0,2,2,2,4,1,0,1,0,4,8,3,2,1,5,0,0,4,3,3,1,6,9,0,1.0,0,1,2,1,,2,2,1,2,0,4,2,6,11,0,3.0,0.0,5
2018-01-01 20:00:00,3,0,2,0,0,0,0,0,1,0,1,1,2,1,1,0,4,5,1,0,1,1,0,0,5,4,0,1,2,8,1,0.0,0,2,0,5,,1,1,0,1,2,1,1,6,15,2,0.0,1.0,4
2018-01-01 21:00:00,0,0,0,1,0,2,0,0,3,0,0,1,0,0,0,0,2,2,1,1,0,1,1,0,3,2,0,3,1,1,0,0.0,0,2,2,2,,0,0,1,3,2,8,2,7,0,1,0.0,0.0,3
2018-01-01 22:00:00,0,2,0,0,0,0,0,0,3,0,0,0,1,0,2,0,0,1,2,0,0,0,0,0,2,1,0,2,1,0,0,1.0,0,0,3,5,,0,1,2,1,2,6,1,4,0,0,0.0,0.0,0
2018-01-01 23:00:00,0,0,0,0,1,0,0,0,2,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,1,2,1,0,0,0.0,0,0,1,3,,2,0,0,3,0,4,0,0,0,1,0.0,1.0,0
2018-01-02 00:00:00,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,1,0,0,,0,0,0,1,0,1,1,1,0,0,0.0,0.0,1
2018-01-02 01:00:00,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,1,3,0,1,0,1,0,0,1,1,2,0,0,0,0,0.0,0,0,1,0,,0,0,0,1,1,2,1,0,0,1,0.0,0.0,0
2018-01-02 02:00:00,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,,1,0,0,0,0,0,1,0,0,0,0.0,0.0,0
2018-01-02 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
2018-01-02 04:00:00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0,0,0,0,0,0.0,0,0,0,1,,0,0,0,2,0,1,0,0,0,0,0.0,0.0,0
2018-01-02 05:00:00,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,2,1,0,0,4,2,2,4,1,0,1,0.0,0,0,3,2,,0,1,1,0,0,7,0,1,1,0,1.0,0.0,1
2018-01-02 06:00:00,2,1,4,1,0,2,6,0,4,1,0,0,2,4,4,0,1,2,5,7,6,3,1,1,11,9,3,1,2,10,0,0.0,0,8,2,9,,2,2,2,1,0,16,23,6,0,2,4.0,0.0,2
2018-01-02 07:00:00,8,6,8,22,2,1,16,3,10,11,1,5,1,1,0,1,1,10,10,18,11,17,0,4,26,49,4,6,2,31,1,3.0,0,15,15,29,,6,3,1,5,2,36,35,27,2,8,2.0,0.0,10
2018-01-02 08:00:00,18,8,13,19,2,1,12,0,19,21,1,5,2,1,1,8,4,23,7,18,16,31,2,11,47,47,9,12,8,30,1,2.0,0,29,33,58,,18,8,3,3,2,62,53,62,8,3,1.0,2.0,12
2018-01-02 09:00:00,14,7,10,23,7,3,19,1,16,17,1,5,4,0,3,7,6,17,22,13,19,54,6,5,42,76,23,27,10,63,3,0.0,6,17,31,65,,15,4,0,5,3,64,30,74,6,3,4.0,0.0,37
2018-01-02 10:00:00,28,5,11,23,3,1,10,1,16,23,4,6,9,2,1,0,4,25,5,10,15,59,1,7,56,65,35,35,23,58,5,2.0,1,12,89,103,,24,12,3,9,4,110,40,74,17,2,0.0,1.0,52
2018-01-02 11:00:00,10,5,6,20,2,5,9,1,20,27,1,4,10,5,3,1,1,13,4,7,11,46,1,14,42,79,25,31,18,88,1,4.0,0,21,84,104,,20,13,9,14,0,130,29,69,29,8,1.0,0.0,46
