,Dir(DegT),Speed(m/s)
2011-01-01,219.0,8.320833333333333
2011-01-02,205.20833333333331,4.441666666666666
2011-01-03,203.83333333333331,3.704166666666667
2011-01-04,225.5,2.5999999999999996
2011-01-05,53.25,5.7666666666666675
2011-01-06,29.791666666666664,6.616666666666667
2011-01-07,203.04166666666669,4.454166666666667
2011-01-08,218.29166666666669,5.454166666666667
2011-01-09,106.5,3.375
2011-01-10,183.79166666666669,2.9000000000000004
2011-01-11,149.58333333333334,2.4125000000000005
2011-01-12,278.2916666666667,5.949999999999999
2011-01-13,242.33333333333334,3.720833333333333
2011-01-14,205.125,2.0166666666666666
2011-01-15,98.25,3.6041666666666665
2011-01-16,246.25,3.9166666666666665
2011-01-17,59.54166666666667,2.854166666666667
2011-01-18,27.75,8.649999999999999
2011-01-19,220.16666666666669,8.433333333333332
2011-01-20,148.33333333333334,4.483333333333333
2011-01-21,100.5,3.666666666666667
2011-01-22,148.54166666666669,3.2666666666666666
2011-01-23,92.95833333333333,7.266666666666667
2011-01-24,247.04166666666669,12.3
2011-01-25,219.45833333333331,5.054166666666667
2011-01-26,217.5,4.508333333333334
2011-01-27,210.91666666666669,5.5875
2011-01-28,65.29166666666667,4.595833333333333
2011-01-29,229.33333333333331,13.504166666666666
2011-01-30,227.95833333333331,6.966666666666666
2011-01-31,267.45833333333337,8.795833333333334
2011-02-01,217.79166666666669,5.470833333333333
2011-02-02,234.0,7.65
2011-02-03,246.66666666666669,6.008333333333334
2011-02-04,250.04166666666669,6.566666666666666
2011-02-05,233.91666666666669,6.0166666666666675
2011-02-06,229.66666666666669,4.904166666666667
2011-02-07,276.0833333333333,3.2250000000000005
2011-02-08,216.54166666666669,4.333333333333333
2011-02-09,205.66666666666669,4.333333333333334
2011-02-10,209.54166666666669,5.183333333333334
2011-02-11,88.95833333333333,3.2958333333333334
2011-02-12,51.91666666666667,5.895833333333334
2011-02-13,48.58333333333333,4.3125
2011-02-14,206.95833333333331,4.466666666666667
2011-02-15,224.95833333333331,4.699999999999999
2011-02-16,78.875,2.8125
2011-02-17,76.29166666666667,3.3833333333333333
2011-02-18,161.95833333333331,3.7750000000000004
2011-02-19,178.79166666666669,3.8125
2011-02-20,147.79166666666669,4.112500000000001
2011-02-21,101.875,3.6624999999999996
2011-02-22,163.70833333333334,3.1
2011-02-23,212.79166666666669,5.845833333333333
2011-02-24,206.70833333333331,7.154166666666667
2011-02-25,213.20833333333331,7.683333333333333
2011-02-26,217.41666666666669,7.083333333333333
2011-02-27,214.04166666666669,6.316666666666666
2011-02-28,194.04166666666669,3.520833333333333
2011-03-01,46.916666666666664,4.2375
2011-03-02,296.25,4.416666666666667
2011-03-03,90.66666666666667,3.2958333333333334
2011-03-04,59.083333333333336,4.125
2011-03-05,206.66666666666666,4.008333333333334
2011-03-06,215.0,9.299999999999999
2011-03-07,185.75,4.166666666666666
2011-03-08,199.83333333333331,3.9583333333333335
2011-03-09,170.70833333333331,1.9458333333333333
2011-03-10,175.08333333333331,3.9541666666666666
2011-03-11,172.16666666666669,3.641666666666667
2011-03-12,174.29166666666669,3.6041666666666665
2011-03-13,98.83333333333333,2.7833333333333337
2011-03-14,165.95833333333331,2.825
2011-03-15,146.08333333333331,2.1583333333333337
2011-03-16,47.916666666666664,3.2041666666666666
2011-03-17,173.75,1.8333333333333335
2011-03-18,220.29166666666666,2.8
2011-03-19,215.5,3.9125
2011-03-20,118.70833333333333,2.1375
2011-03-21,114.83333333333334,2.970833333333333
2011-03-22,213.875,5.329166666666667
2011-03-23,119.625,3.4
2011-03-24,93.20833333333334,4.374999999999999
2011-03-25,64.20833333333333,5.3
2011-03-26,36.208333333333336,6.179166666666667
2011-03-27,302.83333333333337,4.395833333333333
2011-03-28,205.54166666666669,7.254166666666666
2011-03-29,197.08333333333331,3.5708333333333333
2011-03-30,191.79166666666669,2.8708333333333336
2011-03-31,196.25,3.916666666666666
2011-04-01,224.70833333333331,4.379166666666667
2011-04-02,141.66666666666669,2.3625000000000003
2011-04-03,34.958333333333336,3.3083333333333336
2011-04-04,276.41666666666663,4.333333333333333
2011-04-05,256.25,8.191666666666666
2011-04-06,231.75,7.941666666666666
2011-04-07,246.125,10.954166666666666
2011-04-08,200.04166666666669,5.383333333333334
2011-04-09,165.375,2.5541666666666667
2011-04-10,163.95833333333331,1.6416666666666666
2011-04-11,211.04166666666669,2.2958333333333334
2011-04-12,187.625,2.183333333333333
2011-04-13,183.08333333333331,1.8208333333333333
2011-04-14,175.625,1.9083333333333337
2011-04-15,42.791666666666664,3.0875
2011-04-16,174.875,4.854166666666666
2011-04-17,285.75,4.2875000000000005
2011-04-18,222.75,9.95
2011-04-19,210.33333333333331,4.1000000000000005
2011-04-20,223.79166666666669,6.741666666666667
2011-04-21,134.45833333333331,2.2666666666666666
2011-04-22,87.45833333333333,2.3583333333333334
2011-04-23,47.29166666666667,3.4499999999999997
2011-04-24,50.54166666666667,3.9958333333333336
2011-04-25,57.0,3.1833333333333336
2011-04-26,129.20833333333334,4.504166666666666
2011-04-27,160.0,1.5208333333333333
2011-04-28,143.0,2.0041666666666664
2011-04-29,127.875,3.375
2011-04-30,69.83333333333333,1.9875000000000003
2011-05-01,71.70833333333334,7.016666666666667
2011-05-02,64.33333333333334,6.929166666666666
2011-05-03,41.25,4.8625
2011-05-04,31.416666666666664,3.1208333333333336
2011-05-05,130.125,1.7583333333333333
2011-05-06,108.58333333333334,1.9583333333333333
2011-05-07,152.79166666666669,2.7958333333333334
2011-05-08,186.875,2.7625
