,Tmax(C),Tmin(C),Tgmin(C),Tmean(C),RHmean(%)
2012-01-01,20.657142857142862,19.807142857142857,21.564285714285713,20.25,83.92857142857143
2012-01-02,18.821428571428573,17.999999999999996,18.97142857142857,18.400000000000002,74.5
2012-01-03,20.292857142857144,19.335714285714285,21.321428571428577,19.814285714285713,72.85714285714286
2012-01-04,20.442857142857143,19.30714285714286,20.249999999999996,19.857142857142858,81.85714285714286
2012-01-05,20.97142857142857,19.978571428571428,22.092857142857145,20.47857142857143,72.78571428571429
2012-01-06,21.657142857142862,20.52857142857142,23.207142857142856,21.064285714285713,67.35714285714286
2012-01-07,17.75,17.29285714285714,17.042857142857144,17.535714285714285,88.35714285714286
2012-01-08,17.728571428571428,17.25,17.82142857142857,17.485714285714288,90.14285714285714
2012-01-09,21.12142857142857,19.814285714285713,21.25,20.371428571428574,75.71428571428571
2012-01-10,19.28571428571428,18.65,19.935714285714287,18.964285714285715,81.85714285714286
2012-01-11,20.964285714285715,19.664285714285715,22.107142857142858,20.292857142857144,72.64285714285714
2012-01-12,20.53571428571428,19.821428571428573,21.078571428571426,20.164285714285715,77.14285714285714
2012-01-13,20.22142857142857,18.857142857142858,20.58571428571429,19.478571428571428,69.14285714285714
2012-01-14,19.72857142857143,18.028571428571432,19.07857142857143,18.864285714285717,73.42857142857143
2012-01-15,21.035714285714285,19.664285714285715,22.99285714285714,20.392857142857142,73.07142857142857
2012-01-16,19.67142857142857,18.87857142857143,21.742857142857144,19.25714285714286,62.642857142857146
2012-01-17,18.900000000000002,17.70714285714286,18.464285714285715,18.307142857142857,73.42857142857143
2012-01-18,21.278571428571432,19.892857142857142,22.900000000000006,20.599999999999998,63.857142857142854
2012-01-19,21.12142857142857,20.00714285714286,23.071428571428573,20.49285714285714,67.57142857142857
2012-01-20,21.61428571428571,20.328571428571426,22.699999999999996,20.985714285714288,73.28571428571429
2012-01-21,20.664285714285715,19.65,22.05,20.164285714285715,71.57142857142857
2012-01-22,19.45714285714286,18.42142857142857,19.485714285714288,18.857142857142854,80.64285714285714
2012-01-23,17.935714285714283,17.178571428571427,20.36428571428571,17.55,50.785714285714285
2012-01-24,18.75714285714286,17.685714285714283,20.95,18.228571428571428,55.714285714285715
2012-01-25,20.04285714285714,19.178571428571427,22.45714285714286,19.607142857142858,69.35714285714286
2012-01-26,20.61428571428571,19.699999999999996,23.021428571428572,20.178571428571427,62.42857142857143
2012-01-27,18.3,17.07142857142857,17.17142857142857,17.65,76.71428571428571
2012-01-28,17.8,16.692857142857143,18.478571428571428,17.185714285714287,64.14285714285714
2012-01-29,19.207142857142856,18.400000000000002,19.70714285714286,18.79285714285714,70.64285714285714
2012-01-30,21.60714285714286,20.35,23.21428571428571,20.99285714285714,69.28571428571429
2012-01-31,21.849999999999998,20.65,23.7,21.25714285714286,69.64285714285714
2012-02-01,21.414285714285715,20.435714285714287,22.842857142857138,20.914285714285715,76.35714285714286
2012-02-02,20.88571428571429,20.092857142857138,21.407142857142855,20.45714285714286,82.35714285714286
2012-02-03,19.24285714285714,18.521428571428572,19.592857142857145,18.84285714285715,75.85714285714286
2012-02-04,20.028571428571432,19.22142857142857,21.328571428571426,19.599999999999998,60.57142857142857
2012-02-05,20.20714285714286,19.185714285714283,21.32857142857143,19.685714285714283,57.642857142857146
2012-02-06,19.828571428571426,18.95714285714286,20.45714285714286,19.321428571428573,63.0
2012-02-07,20.371428571428574,18.957142857142856,21.12857142857143,19.62857142857143,62.785714285714285
2012-02-08,21.064285714285713,19.45,21.142857142857142,20.192857142857143,74.92857142857143
2012-02-09,21.907142857142855,20.75,23.321428571428573,21.32857142857143,72.07142857142857
2012-02-10,21.835714285714285,20.8,23.564285714285713,21.335714285714285,73.85714285714286
2012-02-11,20.992857142857144,20.1,21.999999999999996,20.507142857142856,77.92857142857143
2012-02-12,19.407142857142855,18.599999999999998,19.550000000000004,19.00714285714286,82.5
2012-02-13,21.79285714285714,20.642857142857142,22.592857142857138,21.271428571428572,77.21428571428571
2012-02-14,22.02142857142857,20.74285714285714,22.78571428571429,21.357142857142858,74.64285714285714
2012-02-15,20.29285714285714,19.321428571428573,19.907142857142855,19.835714285714285,84.85714285714286
2012-02-16,22.342857142857145,21.178571428571427,24.38571428571429,21.714285714285715,70.14285714285714
