,Tmax(C),Tmin(C),Tgmin(C),Tmean(C),RHmean(%)
2012-04-04,21.8125,20.841666666666665,20.454166666666666,21.3,59.66666666666667
2012-04-05,21.4375,20.154166666666665,19.416666666666664,20.799999999999997,59.95833333333333
2012-04-06,17.995833333333334,16.7375,16.175,17.320833333333333,59.20833333333333
2012-04-07,16.208333333333332,14.833333333333334,13.504166666666666,15.508333333333333,71.0
2012-04-08,17.004166666666666,16.03333333333333,15.970833333333335,16.545833333333334,71.41666666666666
2012-04-09,17.799999999999997,16.654166666666665,16.304166666666667,17.25,74.54166666666666
2012-04-10,17.020833333333332,15.45,14.291666666666666,16.191666666666666,85.54166666666666
2012-04-11,17.679166666666667,16.670833333333334,15.916666666666666,17.108333333333334,86.83333333333334
2012-04-12,17.375,16.525,16.016666666666666,16.90416666666667,85.04166666666666
2012-04-13,17.424999999999997,16.758333333333333,16.320833333333333,17.09166666666667,75.20833333333334
2012-04-14,18.30833333333333,17.495833333333334,17.5625,17.933333333333337,75.20833333333334
2012-04-15,16.554166666666667,15.716666666666665,15.408333333333333,16.120833333333334,81.83333333333334
2012-04-16,16.8375,15.429166666666667,14.595833333333333,16.075000000000003,85.125
2012-04-17,17.341666666666665,16.125,15.950000000000001,16.695833333333333,76.75
2012-04-18,16.3875,14.995833333333335,13.933333333333334,15.716666666666669,78.625
2012-04-19,14.062500000000002,12.595833333333333,10.541666666666668,13.2875,68.25
2012-04-20,14.583333333333332,13.904166666666667,13.141666666666666,14.245833333333334,71.83333333333333
2012-04-21,14.516666666666666,13.183333333333334,11.554166666666667,13.8,72.33333333333333
2012-04-22,15.133333333333333,13.633333333333333,12.3,14.420833333333333,71.375
2012-04-23,15.175,13.545833333333333,12.4,14.416666666666666,74.79166666666667
2012-04-24,15.408333333333333,13.308333333333334,10.9875,14.433333333333334,71.91666666666667
2012-04-25,17.358333333333334,15.845833333333335,13.508333333333331,16.5625,66.41666666666667
2012-04-26,15.741666666666667,14.329166666666667,13.145833333333334,15.037500000000001,86.33333333333334
2012-04-27,19.845833333333335,18.695833333333333,18.645833333333332,19.200000000000003,83.33333333333334
2012-04-28,16.85,16.05,14.804166666666667,16.40416666666667,72.125
2012-04-29,16.029166666666665,15.125,14.783333333333335,15.579166666666666,76.875
2012-04-30,15.766666666666666,15.0625,14.225,15.408333333333331,72.79166666666667
2012-05-01,15.399999999999999,14.5625,13.500000000000002,14.925,69.75
2012-05-02,11.916666666666668,10.608333333333334,7.654166666666668,11.2625,60.125
2012-05-03,10.9,9.575,6.6125,10.2375,74.33333333333333
2012-05-04,12.4875,10.954166666666667,7.675000000000001,11.770833333333332,74.83333333333333
2012-05-05,13.229166666666668,11.445833333333335,8.295833333333333,12.287500000000001,76.16666666666667
2012-05-06,13.654166666666665,12.445833333333333,10.225000000000001,13.020833333333332,74.45833333333334
2012-05-07,14.666666666666668,13.779166666666667,12.945833333333333,14.145833333333336,76.08333333333334
2012-05-08,16.637499999999996,15.900000000000002,14.845833333333333,16.225,87.95833333333334
2012-05-09,16.741666666666667,15.891666666666666,15.508333333333333,16.35,92.25
2012-05-10,15.320833333333335,14.591666666666667,15.079166666666666,14.958333333333334,91.66666666666666
2012-05-11,15.145833333333332,14.354166666666668,13.7375,14.725,77.95833333333334
2012-05-12,15.820833333333335,14.912500000000001,14.0625,15.379166666666668,73.5
2012-05-13,16.670833333333334,15.854166666666668,14.549999999999999,16.241666666666667,85.75
2012-05-14,17.112499999999997,16.366666666666667,15.470833333333333,16.733333333333334,81.875
2012-05-15,13.483333333333333,12.179166666666667,11.454166666666666,12.8,85.70833333333334
2012-05-16,12.337499999999999,11.141666666666666,10.145833333333332,11.729166666666668,85.83333333333334
2012-05-17,14.254166666666666,13.266666666666667,11.895833333333332,13.695833333333333,70.29166666666666
2012-05-18,14.5625,13.774999999999999,12.983333333333333,14.1125,75.20833333333334
2012-05-19,13.366666666666667,12.325,11.354166666666666,12.825,77.0
2012-05-20,11.616666666666667,10.145833333333332,8.975,10.8125,83.16666666666666
2012-05-21,12.370833333333334,11.283333333333335,9.666666666666666,11.833333333333332,86.375
2012-05-22,11.279166666666665,10.108333333333333,7.629166666666666,10.641666666666666,73.83333333333333
2012-05-23,10.387500000000001,8.733333333333333,6.070833333333333,9.45,82.04166666666666
2012-05-24,12.808333333333334,11.6875,11.1875,12.283333333333335,81.83333333333334
2012-05-25,13.383333333333333,12.1875,10.616666666666667,12.833333333333334,82.33333333333334
2012-05-26,12.2375,11.2625,9.554166666666667,11.712500000000002,87.29166666666666
2012-05-27,15.783333333333333,15.270833333333332,14.649999999999999,15.566666666666668,80.58333333333334
2012-05-28,14.983333333333333,14.379166666666666,13.787500000000001,14.675,89.66666666666666
2012-05-29,12.904166666666667,11.9625,10.391666666666667,12.479166666666668,66.54166666666667
2012-05-30,8.575,7.229166666666667,4.729166666666666,7.887500000000001,76.0
2012-05-31,13.9875,13.1125,11.720833333333331,13.5625,78.375
2012-06-01,10.920833333333334,9.504166666666666,5.779166666666667,10.204166666666667,70.0
2012-06-02,10.945833333333333,9.516666666666666,7.8500000000000005,10.291666666666666,79.875
2012-06-03,12.945833333333333,11.904166666666667,10.174999999999999,12.345833333333335,82.0
2012-06-04,12.795833333333333,11.604166666666668,10.525000000000002,12.204166666666666,85.0
2012-06-05,14.1125,13.4,12.908333333333331,13.758333333333333,88.29166666666666
2012-06-06,15.829166666666666,15.1375,14.5625,15.491666666666667,88.45833333333334
2012-06-07,12.6625,11.8,10.1125,12.195833333333333,80.0
2012-06-08,11.4625,10.3,8.3125,10.854166666666666,86.91666666666666
2012-06-09,13.208333333333334,12.266666666666666,10.55,12.745833333333334,80.875
2012-06-10,13.033333333333333,12.483333333333333,11.120833333333334,12.779166666666665,73.79166666666666
2012-06-11,13.25,12.570833333333333,10.833333333333334,12.920833333333334,78.16666666666666
2012-06-12,12.475,11.716666666666665,9.358333333333334,12.104166666666668,65.25
2012-06-13,7.554166666666667,6.058333333333334,2.7666666666666666,6.883333333333333,73.125
2012-06-14,8.845833333333335,7.074999999999999,2.9833333333333325,7.991666666666667,75.54166666666667
2012-06-15,9.7,8.579166666666667,8.5,9.195833333333333,82.0
2012-06-16,8.1375,6.633333333333333,3.7333333333333334,7.3875,73.41666666666667
2012-06-17,6.237500000000001,5.033333333333333,2.808333333333333,5.670833333333333,71.375
2012-06-18,13.162500000000001,12.470833333333333,11.283333333333335,12.808333333333334,79.16666666666666
2012-06-19,13.0625,12.241666666666667,11.120833333333334,12.595833333333333,84.70833333333334
2012-06-20,12.354166666666668,11.391666666666667,9.720833333333333,11.879166666666666,85.83333333333334
2012-06-21,11.395833333333332,10.35,8.966666666666665,10.858333333333334,89.58333333333334
2012-06-22,12.558333333333334,11.404166666666667,9.291666666666666,11.962499999999999,82.04166666666666
2012-06-23,11.858333333333334,10.816666666666666,8.675,11.333333333333334,82.5
2012-06-24,12.6375,11.704166666666666,11.054166666666667,12.133333333333335,86.54166666666666
2012-06-25,12.625,11.533333333333331,10.258333333333333,12.104166666666668,75.33333333333334
2012-06-26,11.541666666666668,10.720833333333333,8.770833333333332,11.129166666666666,78.83333333333334
2012-06-27,11.225,10.037500000000001,8.475000000000001,10.683333333333334,70.04166666666666
2012-06-28,12.675,11.933333333333334,10.4875,12.275,73.58333333333334
2012-06-29,11.370833333333334,10.4875,8.779166666666667,10.941666666666666,77.25
2012-06-30,5.4625,4.495833333333333,2.191666666666667,4.875,79.45833333333334
2012-07-01,9.183333333333334,8.120833333333334,5.745833333333334,8.65,74.75
2012-07-02,8.533333333333333,7.554166666666667,6.433333333333332,8.104166666666668,79.79166666666666
2012-07-03,11.345833333333331,10.545833333333334,9.054166666666667,10.9375,85.66666666666666
2012-07-04,11.720833333333333,10.579166666666666,9.308333333333334,11.104166666666666,88.79166666666666
2012-07-05,8.308333333333334,7.691666666666666,8.454166666666666,7.995833333333334,95.0
2012-07-06,9.729166666666668,9.079166666666666,8.616666666666667,9.420833333333333,84.0
2012-07-07,9.2,7.987500000000001,5.074999999999999,8.525,78.625
2012-07-08,7.012499999999999,5.520833333333333,2.6625,6.2375,82.0
2012-07-09,7.504166666666667,5.9625,2.9166666666666665,6.729166666666667,83.04166666666666
2012-07-10,7.808333333333334,6.220833333333333,2.904166666666667,7.037499999999999,84.33333333333334
2012-07-11,7.366666666666667,6.0625,4.179166666666666,6.6083333333333325,84.95833333333334
2012-07-12,10.558333333333334,9.854166666666666,9.3125,10.179166666666665,77.33333333333334
2012-07-13,11.654166666666667,10.758333333333333,9.091666666666667,11.2125,68.70833333333333
