,Dir(DegT),Speed(m/s)
2011-01-01,218.57142857142858,8.464285714285714
2011-01-02,237.85714285714286,3.857142857142857
2011-01-03,214.64285714285714,3.8714285714285706
2011-01-04,226.78571428571428,2.392857142857143
2011-01-05,48.857142857142854,6.621428571428571
2011-01-06,27.571428571428573,6.742857142857141
2011-01-07,225.78571428571428,3.9142857142857146
2011-01-08,223.21428571428572,5.678571428571429
2011-01-09,165.85714285714286,3.3
2011-01-10,193.0,3.414285714285714
2011-01-11,186.85714285714286,2.392857142857143
2011-01-12,265.2857142857143,6.014285714285714
2011-01-13,232.92857142857142,4.1571428571428575
2011-01-14,168.92857142857142,2.3214285714285716
2011-01-15,62.57142857142857,3.9785714285714286
2011-01-16,252.57142857142858,3.371428571428571
2011-01-17,47.714285714285715,3.614285714285714
2011-01-18,27.428571428571427,9.364285714285714
2011-01-19,219.42857142857142,8.8
2011-01-20,176.64285714285714,5.228571428571428
2011-01-21,93.0,3.642857142857143
2011-01-22,143.92857142857142,3.207142857142857
2011-01-23,67.07142857142857,9.528571428571428
2011-01-24,243.07142857142858,13.028571428571428
2011-01-25,218.78571428571428,5.042857142857143
2011-01-26,230.21428571428572,3.864285714285714
2011-01-27,213.92857142857142,5.257142857142857
2011-01-28,60.857142857142854,5.3500000000000005
2011-01-29,230.07142857142858,13.4
2011-01-30,230.35714285714286,7.328571428571428
2011-01-31,265.5,9.72857142857143
2011-02-01,219.57142857142858,5.771428571428572
2011-02-02,235.57142857142858,8.035714285714286
2011-02-03,240.28571428571428,6.242857142857143
2011-02-04,246.64285714285714,7.185714285714285
2011-02-05,231.42857142857142,6.65
2011-02-06,230.42857142857142,4.914285714285714
2011-02-07,274.42857142857144,3.6214285714285714
2011-02-08,235.71428571428572,4.057142857142858
2011-02-09,208.21428571428572,4.685714285714285
2011-02-10,213.92857142857142,5.485714285714286
2011-02-11,104.92857142857143,3.5142857142857147
2011-02-12,50.57142857142857,6.421428571428571
2011-02-13,46.42857142857143,4.078571428571428
2011-02-14,215.71428571428572,5.3
2011-02-15,228.0,4.378571428571429
2011-02-16,74.57142857142857,3.121428571428571
2011-02-17,87.64285714285714,3.335714285714286
2011-02-18,178.21428571428572,3.8214285714285716
2011-02-19,194.5,3.9499999999999997
2011-02-20,177.21428571428572,3.9357142857142855
2011-02-21,90.78571428571429,4.042857142857143
2011-02-22,94.14285714285714,3.6571428571428575
2011-02-23,217.14285714285714,5.3357142857142845
2011-02-24,210.0,7.607142857142857
2011-02-25,212.64285714285714,7.821428571428571
2011-02-26,224.35714285714286,7.228571428571428
2011-02-27,216.57142857142858,6.792857142857143
2011-02-28,228.07142857142858,3.5928571428571425
2011-03-01,35.92857142857143,4.985714285714286
2011-03-02,310.64285714285717,4.485714285714286
2011-03-03,162.64285714285714,3.228571428571428
2011-03-04,135.35714285714286,4.3
2011-03-05,234.35714285714286,3.8928571428571432
2011-03-06,216.42857142857142,9.378571428571428
2011-03-07,175.57142857142858,4.014285714285714
2011-03-08,204.0,3.8
2011-03-09,206.28571428571428,2.8857142857142852
2011-03-10,204.42857142857142,3.7285714285714286
2011-03-11,190.85714285714286,4.207142857142857
2011-03-12,193.35714285714286,3.621428571428571
2011-03-13,126.21428571428571,3.1857142857142864
2011-03-14,116.35714285714286,3.4357142857142855
2011-03-15,197.21428571428572,2.4
2011-03-16,62.142857142857146,3.692857142857143
2011-03-17,151.28571428571428,2.3500000000000005
2011-03-18,249.14285714285714,2.9499999999999997
2011-03-19,213.14285714285714,4.3
2011-03-20,125.21428571428571,2.085714285714286
2011-03-21,111.78571428571429,3.2357142857142853
2011-03-22,210.71428571428572,5.514285714285714
2011-03-23,106.57142857142857,3.914285714285714
2011-03-24,81.57142857142857,4.778571428571429
2011-03-25,63.785714285714285,5.4
2011-03-26,34.07142857142857,6.978571428571429
2011-03-27,302.7857142857143,4.007142857142857
2011-03-28,203.5,7.314285714285714
2011-03-29,201.85714285714286,3.964285714285714
2011-03-30,180.71428571428572,2.7857142857142856
2011-03-31,218.28571428571428,4.414285714285715
2011-04-01,224.5,4.6571428571428575
2011-04-02,193.14285714285714,2.092857142857143
2011-04-03,31.642857142857142,3.6499999999999995
2011-04-04,300.0,4.135714285714285
2011-04-05,255.5,8.992857142857142
2011-04-06,232.71428571428572,8.178571428571429
2011-04-07,245.92857142857142,11.492857142857144
2011-04-08,209.14285714285714,5.007142857142858
2011-04-09,191.85714285714286,2.7142857142857144
2011-04-10,163.42857142857142,1.535714285714286
2011-04-11,233.92857142857142,2.6571428571428575
2011-04-12,194.71428571428572,2.221428571428571
2011-04-13,220.07142857142858,1.5642857142857145
2011-04-14,198.57142857142858,1.8214285714285714
2011-04-15,97.85714285714286,3.1714285714285717
2011-04-16,107.0,5.757142857142857
2011-04-17,273.35714285714283,4.992857142857142
2011-04-18,226.0,11.921428571428573
2011-04-19,219.35714285714286,3.6357142857142857
2011-04-20,227.14285714285714,7.071428571428572
2011-04-21,180.07142857142858,2.4
2011-04-22,72.14285714285714,3.5857142857142854
2011-04-23,43.642857142857146,3.8714285714285714
2011-04-24,46.214285714285715,4.607142857142857
2011-04-25,52.714285714285715,3.7357142857142853
2011-04-26,127.42857142857143,5.05
2011-04-27,159.28571428571428,2.0000000000000004
2011-04-28,129.64285714285714,2.692857142857143
2011-04-29,123.5,3.221428571428571
2011-04-30,102.21428571428571,2.2357142857142853
2011-05-01,71.28571428571429,7.314285714285712
2011-05-02,63.285714285714285,7.6499999999999995
2011-05-03,39.07142857142857,5.171428571428572
2011-05-04,94.0,2.857142857142857
2011-05-05,131.85714285714286,1.9000000000000001
2011-05-06,84.07142857142857,4.014285714285714
2011-05-07,129.0,4.014285714285714
2011-05-08,242.0,2.814285714285714
2011-05-09,202.35714285714286,2.714285714285714
2011-05-10,114.28571428571429,2.435714285714286
2011-05-11,44.857142857142854,8.428571428571429
2011-05-12,33.5,3.571428571428572
2011-05-13,185.21428571428572,5.0
2011-05-14,291.7857142857143,5.464285714285714
2011-05-15,212.92857142857142,6.007142857142858
2011-05-16,264.64285714285717,10.928571428571429
2011-05-17,259.85714285714283,8.892857142857142
2011-05-18,212.92857142857142,7.485714285714285
2011-05-19,215.42857142857142,6.778571428571429
2011-05-20,260.2142857142857,3.2357142857142853
2011-05-21,236.57142857142858,3.7428571428571433
2011-05-22,256.07142857142856,2.4214285714285713
2011-05-23,175.5,1.8142857142857145
