,Amount(Hrs)
2012-01-01,0.07857142857142856
2012-01-02,0.1285714285714286
2012-01-03,0.32142857142857145
2012-01-04,0.1285714285714286
2012-01-05,0.37857142857142856
2012-01-06,0.4571428571428572
2012-01-07,0.0
2012-01-08,0.0
2012-01-09,0.42142857142857143
2012-01-10,0.0
2012-01-11,0.4714285714285715
2012-01-12,0.17857142857142858
2012-01-13,0.5571428571428572
2012-01-14,0.2571428571428572
2012-01-15,0.6214285714285716
2012-01-16,0.7000000000000001
2012-01-17,0.14285714285714285
2012-01-18,0.6071428571428571
2012-01-19,0.6857142857142858
2012-01-20,0.6928571428571428
2012-01-21,0.3571428571428572
2012-01-22,0.15714285714285717
2012-01-23,0.9071428571428571
2012-01-24,0.9500000000000001
2012-01-25,0.9142857142857144
2012-01-26,0.7357142857142858
2012-01-27,0.17857142857142858
2012-01-28,0.25000000000000006
2012-01-29,0.25
2012-01-30,0.6714285714285715
2012-01-31,0.40714285714285714
2012-02-01,0.7571428571428572
2012-02-02,0.03571428571428571
2012-02-03,0.014285714285714287
2012-02-04,0.19285714285714287
2012-02-05,0.2785714285714286
2012-02-06,0.014285714285714287
2012-02-07,0.4428571428571428
2012-02-08,0.55
2012-02-09,0.7428571428571429
2012-02-10,0.85
2012-02-11,0.4
2012-02-12,0.04285714285714286
2012-02-13,0.5642857142857143
2012-02-14,0.4571428571428572
2012-02-15,0.17142857142857146
2012-02-16,0.7571428571428571
2012-02-17,0.2928571428571428
2012-02-18,0.8928571428571429
2012-02-19,0.8285714285714286
2012-02-20,0.5642857142857143
2012-02-21,0.31428571428571433
2012-02-22,0.0
2012-02-23,0.0071428571428571435
2012-02-24,0.4428571428571429
2012-02-25,0.4785714285714286
2012-02-26,0.6785714285714286
2012-02-27,0.6214285714285716
2012-02-28,0.4642857142857143
2012-02-29,0.1142857142857143
2012-03-01,0.47857142857142854
2012-03-02,0.0
2012-03-03,0.39285714285714285
2012-03-04,0.8071428571428572
2012-03-05,0.5428571428571428
2012-03-06,0.2
2012-03-07,0.2642857142857143
2012-03-08,0.0
2012-03-09,0.7928571428571428
2012-03-10,0.1
2012-03-11,0.0
2012-03-12,0.07142857142857142
2012-03-13,0.7142857142857144
2012-03-14,0.6428571428571427
2012-03-15,0.5714285714285715
2012-03-16,0.7000000000000001
2012-03-17,0.29285714285714287
2012-03-18,0.18571428571428572
2012-03-19,0.0
2012-03-20,0.04285714285714286
2012-03-21,0.0
2012-03-22,0.4857142857142857
2012-03-23,0.6428571428571429
2012-03-24,0.15714285714285717
2012-03-25,0.6142857142857142
2012-03-26,0.55
2012-03-27,0.7214285714285713
2012-03-28,0.6428571428571427
2012-03-29,0.5071428571428571
2012-03-30,0.4214285714285714
2012-03-31,0.7071428571428572
2012-04-01,0.43571428571428567
2012-04-02,0.0642857142857143
2012-04-03,0.1642857142857143
2012-04-04,0.6142857142857144
2012-04-05,0.6428571428571429
2012-04-06,0.6857142857142857
2012-04-07,0.38571428571428573
2012-04-08,0.7142857142857143
2012-04-09,0.6714285714285715
2012-04-10,0.7071428571428572
2012-04-11,0.13571428571428573
2012-04-12,0.3571428571428571
2012-04-13,0.35714285714285715
2012-04-14,0.5071428571428571
2012-04-15,0.14285714285714288
