,Amount(Hrs)
2012-07-14,0.0375
2012-07-15,0.0
2012-07-16,0.0
2012-07-17,0.4041666666666667
2012-07-18,0.5
2012-07-19,0.2833333333333334
2012-07-20,0.4708333333333333
2012-07-21,0.03333333333333333
2012-07-22,0.0
2012-07-23,0.0
2012-07-24,0.0
2012-07-25,0.037500000000000006
2012-07-26,0.46249999999999997
2012-07-27,0.42500000000000004
2012-07-28,0.31666666666666665
2012-07-29,0.0
2012-07-30,0.1
2012-07-31,0.1375
2012-08-01,0.16666666666666666
2012-08-02,0.1
2012-08-03,0.1625
2012-08-04,0.1625
2012-08-05,0.21666666666666667
2012-08-06,0.4666666666666667
2012-08-07,0.21666666666666667
2012-08-08,0.08750000000000001
2012-08-09,0.25416666666666665
2012-08-10,0.4166666666666667
2012-08-11,0.1875
2012-08-12,0.31666666666666665
2012-08-13,0.5291666666666667
2012-08-14,0.375
2012-08-15,0.18333333333333332
2012-08-16,0.35
2012-08-17,0.2833333333333333
2012-08-18,0.5666666666666667
2012-08-19,0.0125
2012-08-20,0.2708333333333333
2012-08-21,0.275
2012-08-22,0.65
2012-08-23,0.30833333333333335
2012-08-24,0.425
2012-08-25,0.425
2012-08-26,0.45416666666666666
2012-08-27,0.26666666666666666
2012-08-28,0.3791666666666667
2012-08-29,0.4666666666666667
2012-08-30,0.0
2012-08-31,0.2375
2012-09-01,0.25833333333333336
2012-09-02,0.3833333333333333
2012-09-03,0.03333333333333333
2012-09-04,0.42083333333333334
2012-09-05,0.22499999999999998
2012-09-06,0.3208333333333333
2012-09-07,0.14583333333333331
2012-09-08,0.0375
2012-09-09,0.42500000000000004
2012-09-10,0.4041666666666667
2012-09-11,0.4458333333333333
2012-09-12,0.7583333333333333
2012-09-13,0.7416666666666667
2012-09-14,0.4291666666666667
2012-09-15,0.1875
2012-09-16,0.2333333333333333
2012-09-17,0.4666666666666667
2012-09-18,0.625
2012-09-19,0.4875
2012-09-20,0.2791666666666667
2012-09-21,0.3375
2012-09-22,0.36666666666666664
2012-09-23,0.6583333333333333
2012-09-24,0.1125
2012-09-25,0.6
2012-09-26,0.15
2012-09-27,0.0
2012-09-28,0.0125
2012-09-29,0.12916666666666668
2012-09-30,0.5666666666666667
2012-10-01,0.21666666666666667
2012-10-02,0.575
2012-10-03,0.32499999999999996
2012-10-04,0.3
2012-10-05,0.25416666666666665
2012-10-06,0.4125
2012-10-07,0.30416666666666664
2012-10-08,0.19999999999999998
2012-10-09,0.4708333333333333
2012-10-10,0.125
2012-10-11,0.8083333333333333
2012-10-12,0.7791666666666666
2012-10-13,0.26666666666666666
2012-10-14,0.3708333333333334
2012-10-15,0.3083333333333333
2012-10-16,0.5333333333333334
2012-10-17,0.3833333333333334
2012-10-18,0.3
2012-10-19,0.5458333333333333
2012-10-20,0.35
2012-10-21,0.0
2012-10-22,0.2125
2012-10-23,0.3833333333333333
2012-10-24,0.8875
2012-10-25,0.5416666666666667
2012-10-26,0.6375
2012-10-27,0.6208333333333333
2012-10-28,0.30416666666666664
2012-10-29,0.13333333333333333
2012-10-30,0.4041666666666667
2012-10-31,0.03333333333333333
2012-11-01,0.5
2012-11-02,0.0125
2012-11-03,0.19166666666666665
2012-11-04,0.6041666666666667
2012-11-05,0.4083333333333333
2012-11-06,0.3375
2012-11-07,0.7375
2012-11-08,0.42500000000000004
2012-11-09,0.925
2012-11-10,0.5666666666666667
2012-11-11,0.0125
2012-11-12,0.22916666666666666
2012-11-13,0.575
2012-11-14,0.2375
2012-11-15,0.16666666666666666
2012-11-16,0.5291666666666667
2012-11-17,0.0
2012-11-18,0.475
2012-11-19,0.41666666666666663
2012-11-20,0.6
2012-11-21,0.6375
2012-11-22,0.6208333333333333
2012-11-23,0.7625
2012-11-24,0.6000000000000001
2012-11-25,0.21666666666666667
2012-11-26,0.4375
2012-11-27,0.41666666666666674
2012-11-28,0.2958333333333333
2012-11-29,0.0
2012-11-30,0.4625
2012-12-01,0.8458333333333333
2012-12-02,0.016666666666666666
2012-12-03,0.5375
2012-12-04,0.1625
2012-12-05,0.0
2012-12-06,0.075
2012-12-07,0.45416666666666666
2012-12-08,0.8125
2012-12-09,0.9625
2012-12-10,0.8125
2012-12-11,0.016666666666666666
2012-12-12,0.6583333333333333
2012-12-13,0.7375
2012-12-14,0.6
2012-12-15,0.7875
2012-12-16,0.4166666666666667
2012-12-17,0.0
2012-12-18,0.26666666666666666
2012-12-19,0.3125
2012-12-20,0.375
2012-12-21,0.5
2012-12-22,0.49583333333333335
2012-12-23,0.05
2012-12-24,0.10000000000000002
2012-12-25,0.03333333333333333
2012-12-26,0.0
2012-12-27,0.03333333333333333
2012-12-28,0.09999999999999999
2012-12-29,0.7875
2012-12-30,0.23333333333333336
2012-12-31,0.7708333333333334
2013-01-01,0.9125
2013-01-02,0.325
2013-01-03,0.03333333333333333
2013-01-04,0.6291666666666667
2013-01-05,0.9375
2013-01-06,0.05416666666666667
2013-01-07,0.5583333333333333
2013-01-08,0.6000000000000001
2013-01-09,0.7625
2013-01-10,0.4208333333333333
2013-01-11,0.6791666666666667
2013-01-12,0.725
2013-01-13,0.4041666666666667
2013-01-14,0.025
2013-01-15,0.09583333333333333
2013-01-16,0.19166666666666665
2013-01-17,0.19583333333333333
2013-01-18,0.5708333333333333
2013-01-19,0.8208333333333333
2013-01-20,0.48333333333333334
2013-01-21,0.6625
2013-01-22,0.6208333333333333
2013-01-23,0.5874999999999999
2013-01-24,0.6333333333333333
2013-01-25,0.5666666666666667
2013-01-26,0.5666666666666667
2013-01-27,0.6625
2013-01-28,0.875
2013-01-29,0.9
2013-01-30,0.8125
2013-01-31,0.5625
2013-02-01,0.4166666666666667
2013-02-02,0.5708333333333333
2013-02-03,0.24583333333333335
2013-02-04,0.016666666666666666
2013-02-05,0.48333333333333334
2013-02-06,0.8875
2013-02-07,0.8416666666666666
2013-02-08,0.5416666666666666
2013-02-09,0.85
2013-02-10,0.6625
2013-02-11,0.7875
2013-02-12,0.8125
2013-02-13,0.35
2013-02-14,0.7208333333333333
2013-02-15,0.29166666666666663
2013-02-16,0.3833333333333333
2013-02-17,0.8
2013-02-18,0.575
2013-02-19,0.16666666666666666
2013-02-20,0.5833333333333333
2013-02-21,0.7958333333333334
2013-02-22,0.25833333333333336
2013-02-23,0.37916666666666665
2013-02-24,0.7708333333333333
2013-02-25,0.75
2013-02-26,0.6541666666666666
2013-02-27,0.31666666666666665
2013-02-28,0.6083333333333334
2013-03-01,0.25
2013-03-02,0.5416666666666667
2013-03-03,0.5375
2013-03-04,0.2125
2013-03-05,0.09583333333333333
2013-03-06,0.6416666666666667
2013-03-07,0.6916666666666667
2013-03-08,0.775
2013-03-09,0.775
2013-03-10,0.775
2013-03-11,0.775
2013-03-12,0.775
2013-03-13,0.775
2013-03-14,0.675
2013-03-15,0.39166666666666666
2013-03-16,0.0375
2013-03-17,0.0
2013-03-18,0.3041666666666667
2013-03-19,0.3458333333333333
2013-03-20,0.32916666666666666
2013-03-21,0.6791666666666667
2013-03-22,0.37083333333333335
2013-03-23,0.33333333333333337
2013-03-24,0.6958333333333333
2013-03-25,0.7125
2013-03-26,0.7625
2013-03-27,0.5458333333333334
2013-03-28,0.3041666666666667
2013-03-29,0.2791666666666667
2013-03-30,0.06666666666666667
2013-03-31,0.09166666666666667
2013-04-01,0.4916666666666667
2013-04-02,0.15
2013-04-03,0.24166666666666664
2013-04-04,0.09999999999999999
2013-04-05,0.5291666666666667
2013-04-06,0.2583333333333333
2013-04-07,0.48333333333333334
2013-04-08,0.7333333333333334
2013-04-09,0.7166666666666666
2013-04-10,0.6333333333333333
2013-04-11,0.4625
2013-04-12,0.6166666666666667
2013-04-13,0.6708333333333334
2013-04-14,0.175
2013-04-15,0.0
2013-04-16,0.0
2013-04-17,0.07500000000000001
2013-04-18,0.2958333333333333
2013-04-19,0.0
2013-04-20,0.15
2013-04-21,0.03333333333333333
2013-04-22,0.26666666666666666
2013-04-23,0.3041666666666667
2013-04-24,0.0
2013-04-25,0.4083333333333333
2013-04-26,0.35833333333333334
2013-04-27,0.425
2013-04-28,0.4666666666666667
2013-04-29,0.4833333333333334
2013-04-30,0.4083333333333333
2013-05-01,0.5874999999999999
2013-05-02,0.3583333333333334
2013-05-03,0.0125
2013-05-04,0.075
2013-05-05,0.23333333333333334
2013-05-06,0.06666666666666667
2013-05-07,0.6124999999999999
